commodity,commodity_type,price,market,state,district,date
Rice,Cereals,67.54,Local Market,National Average,All,2025-06-12
Rice,Cereals,54.68,Wholesale Market,National Average,All,2025-06-12
Rice,Cereals,61.03,Government Market,National Average,All,2025-06-12
Rice,Cereals,70.08,Local Market,National Average,All,2025-06-11
Rice,Cereals,56.88,Wholesale Market,National Average,All,2025-06-11
Rice,Cereals,63.37,Government Market,National Average,All,2025-06-11
Rice,Cereals,66.94,Local Market,National Average,All,2025-06-10
Rice,Cereals,54.08,Wholesale Market,National Average,All,2025-06-10
Rice,Cereals,61.58,Government Market,National Average,All,2025-06-10
Rice,Cereals,69.12,Local Market,National Average,All,2025-06-09
Rice,Cereals,56.28,Wholesale Market,National Average,All,2025-06-09
Rice,Cereals,62.24,Government Market,National Average,All,2025-06-09
Rice,Cereals,67.57,Local Market,National Average,All,2025-06-08
Rice,Cereals,56.4,Wholesale Market,National Average,All,2025-06-08
Rice,Cereals,62.55,Government Market,National Average,All,2025-06-08
Rice,Cereals,69.27,Local Market,National Average,All,2025-06-07
Rice,Cereals,58.31,Wholesale Market,National Average,All,2025-06-07
Rice,Cereals,64.43,Government Market,National Average,All,2025-06-07
Rice,Cereals,71.0,Local Market,National Average,All,2025-06-06
Rice,Cereals,57.85,Wholesale Market,National Average,All,2025-06-06
Rice,Cereals,63.79,Government Market,National Average,All,2025-06-06
Rice,Cereals,70.05,Local Market,National Average,All,2025-06-05
Rice,Cereals,57.63,Wholesale Market,National Average,All,2025-06-05
Rice,Cereals,65.34,Government Market,National Average,All,2025-06-05
Rice,Cereals,73.79,Local Market,National Average,All,2025-06-04
Rice,Cereals,60.47,Wholesale Market,National Average,All,2025-06-04
Rice,Cereals,66.63,Government Market,National Average,All,2025-06-04
Rice,Cereals,72.98,Local Market,National Average,All,2025-06-03
Rice,Cereals,59.31,Wholesale Market,National Average,All,2025-06-03
Rice,Cereals,66.08,Government Market,National Average,All,2025-06-03
Rice,Cereals,72.91,Local Market,National Average,All,2025-06-02
Rice,Cereals,58.99,Wholesale Market,National Average,All,2025-06-02
Rice,Cereals,66.08,Government Market,National Average,All,2025-06-02
Rice,Cereals,70.2,Local Market,National Average,All,2025-06-01
Rice,Cereals,57.05,Wholesale Market,National Average,All,2025-06-01
Rice,Cereals,62.06,Government Market,National Average,All,2025-06-01
Rice,Cereals,66.85,Local Market,National Average,All,2025-05-31
Rice,Cereals,54.1,Wholesale Market,National Average,All,2025-05-31
Rice,Cereals,60.51,Government Market,National Average,All,2025-05-31
Rice,Cereals,66.77,Local Market,National Average,All,2025-05-30
Rice,Cereals,55.09,Wholesale Market,National Average,All,2025-05-30
Rice,Cereals,59.54,Government Market,National Average,All,2025-05-30
Rice,Cereals,68.96,Local Market,National Average,All,2025-05-29
Rice,Cereals,55.95,Wholesale Market,National Average,All,2025-05-29
Rice,Cereals,61.23,Government Market,National Average,All,2025-05-29
